Perplexity Results for FFNN on ulysses
--------------------------------------------------------

Average Training Perplexity: 1848.9583
Average Test Perplexity: 1992.5259

Test Set Perplexities:
Sentence 234: 72.0643
Sentence 235: 6913.2166
Sentence 236: 72.0643
Sentence 237: 1798.9109
Sentence 238: 3503.7515
Sentence 239: 4532.7024
Sentence 240: 642.9515
Sentence 241: 3813.5399
Sentence 242: 79.5329
Sentence 243: 746.1014
Sentence 244: 6232.6084
Sentence 245: 684.8544
Sentence 246: 103.3631
Sentence 247: 14.8375
Sentence 248: 8.7189
Sentence 249: 6296.5301
Sentence 250: 2992.3077
Sentence 251: 22.1870
Sentence 252: 776.4826
Sentence 253: 1165.0049
Sentence 254: 1266.7802
Sentence 255: 3803.2830
Sentence 256: 79.5329
Sentence 257: 3055.9305
Sentence 258: 2043.1503
Sentence 259: 4539.9638
Sentence 260: 163.6702
Sentence 261: 3112.7620
Sentence 262: 4116.6378
Sentence 263: 44.4872
Sentence 264: 2350.9901
Sentence 265: 141.1023
Sentence 266: 19.7240
Sentence 267: 882.3846
Sentence 268: 5254.6105
Sentence 269: 35.3764
Sentence 270: 9156.5251
Sentence 271: 229.0143
Sentence 272: 27.2903
Sentence 273: 124.7265
Sentence 274: 45.2232
Sentence 275: 1760.3770
Sentence 276: 7.1930
Sentence 277: 214.7532
Sentence 278: 1298.9277
Sentence 279: 296.0660
Sentence 280: 3.1902
Sentence 281: 3338.7464
Sentence 282: 5959.2471
Sentence 283: 8.7434
Sentence 284: 2390.8282
Sentence 285: 10.6923
Sentence 286: 6.7346
Sentence 287: 1.2445
Sentence 288: 910.1480
Sentence 289: 3578.4481
Sentence 290: 874.0896
Sentence 291: 1285.5418
Sentence 292: 490.0494
Sentence 293: 31.0283
Sentence 294: 9701.7096
Sentence 295: 296.0660
Sentence 296: 1055.6129
Sentence 297: 262.7149
Sentence 298: 12.7948
Sentence 299: 65.3960
Sentence 300: 64.8650
Sentence 301: 524.8948
Sentence 302: 1150.0966
Sentence 303: 2390.9981
Sentence 304: 64.2551
Sentence 305: 106.6023
Sentence 306: 9143.5398
Sentence 307: 5362.3585
Sentence 308: 8.3067
Sentence 309: 120.1173
Sentence 310: 4663.3841
Sentence 311: 9548.2829
Sentence 312: 7376.8549
Sentence 313: 297.2616
Sentence 314: 36.0722
Sentence 315: 5905.7133
Sentence 316: 8626.4365
Sentence 317: 2631.8585
Sentence 318: 2038.5942
Sentence 319: 8111.5406
Sentence 320: 5540.4698
Sentence 321: 16.3441
Sentence 322: 2394.6047
Sentence 323: 1633.4491
Sentence 324: 17.9327
Sentence 325: 44.4872
Sentence 326: 1132.7898
Sentence 327: 442.8469
Sentence 328: 72.0643
Sentence 329: 3754.7558
Sentence 330: 72.0643
Sentence 331: 824.0436
Sentence 332: 1780.9273
Sentence 333: 7689.0363
Sentence 334: 13.7856
Sentence 335: 826.2016
Sentence 336: 7668.8400
Sentence 337: 18.9526
Sentence 338: 67.6442
Sentence 339: 1081.2700
Sentence 340: 163.6702
Sentence 341: 5327.3820
Sentence 342: 6906.1889
Sentence 343: 26.0734
Sentence 344: 5425.3619
Sentence 345: 7971.9869
Sentence 346: 31.1152
Sentence 347: 9051.7091
Sentence 348: 6011.9530
Sentence 349: 43.5157
Sentence 350: 527.9824
Sentence 351: 1810.5539
Sentence 352: 94.1244
Sentence 353: 534.9084
Sentence 354: 6037.3006
Sentence 355: 4401.3463
Sentence 356: 2585.2217
Sentence 357: 26.3739
Sentence 358: 7027.2375
Sentence 359: 7622.0804
Sentence 360: 3.2912
Sentence 361: 554.1399
Sentence 362: 27.6252
Sentence 363: 955.0093
Sentence 364: 72.0643
Sentence 365: 3928.3106
Sentence 366: 1290.3973
Sentence 367: 270.4236
Sentence 368: 7257.7411
Sentence 369: 86.2029
Sentence 370: 26.7092
Sentence 371: 289.0114
Sentence 372: 664.2257
Sentence 373: 2004.8465
Sentence 374: 618.5203
Sentence 375: 20.9300
Sentence 376: 31.0283
Sentence 377: 930.3575
Sentence 378: 27.4532
Sentence 379: 928.0212
Sentence 380: 8914.4904
Sentence 381: 13.6254
Sentence 382: 4963.7666
Sentence 383: 94.1244
Sentence 384: 44.4872
Sentence 385: 5158.6458
Sentence 386: 64.8650
Sentence 387: 44.4872
Sentence 388: 6687.2667
Sentence 389: 2374.9174
Sentence 390: 3.7703
Sentence 391: 323.7153
Sentence 392: 524.8948
Sentence 393: 8019.4871
Sentence 394: 640.5853
Sentence 395: 1717.6246
Sentence 396: 13.7447
Sentence 397: 667.5870
Sentence 398: 1547.0191
Sentence 399: 27.6252
Sentence 400: 11.6012
Sentence 401: 1293.9661
Sentence 402: 7901.5048
Sentence 403: 9.7589
Sentence 404: 56.6508
Sentence 405: 27.3242
Sentence 406: 27.6252
Sentence 407: 5355.6734
Sentence 408: 10.0469
Sentence 409: 6558.0485
Sentence 410: 3982.1771
Sentence 411: 14.3806
Sentence 412: 1751.8188
Sentence 413: 5950.0361
Sentence 414: 12.5173
Sentence 415: 587.9886
Sentence 416: 9696.9856
Sentence 417: 31.0283
Sentence 418: 262.7149
Sentence 419: 153.3264
Sentence 420: 9281.5644
Sentence 421: 4834.4010
Sentence 422: 8985.5848
Sentence 423: 16.8366
Sentence 424: 6586.0771
Sentence 425: 2551.8904
Sentence 426: 179.3235
Sentence 427: 587.9886
Sentence 428: 2829.8143
Sentence 429: 46.2231
Sentence 430: 366.1982
Sentence 431: 5038.3987
Sentence 432: 4.8993
Sentence 433: 1.8165
Sentence 434: 2536.2139
Sentence 435: 5.4471
Sentence 436: 297.2616
Sentence 437: 262.6576
Sentence 438: 94.1244
Sentence 439: 11.4297
Sentence 440: 3874.0154
Sentence 441: 71.0990
Sentence 442: 1.0931
Sentence 443: 4798.1907
Sentence 444: 59.5156
Sentence 445: 186.6606
Sentence 446: 1.0495
Sentence 447: 928.0212
Sentence 448: 5812.8695
Sentence 449: 27.6252
Sentence 450: 5.3698
Sentence 451: 6154.1697
Sentence 452: 27.6252
Sentence 453: 1.1367
Sentence 454: 518.5387
Sentence 455: 94.1244
Sentence 456: 9240.0964
Sentence 457: 27.6252
Sentence 458: 1553.0266
Sentence 459: 8359.2270
Sentence 460: 36.0831
Sentence 461: 1575.7158
Sentence 462: 18.9130
Sentence 463: 9537.6353
Sentence 464: 656.2578
Sentence 465: 2160.0604
Sentence 466: 1094.0133
Sentence 467: 13.8739
Sentence 468: 974.6625
Sentence 469: 64.8650
Sentence 470: 34.6550
Sentence 471: 3943.5208
Sentence 472: 27.6252
Sentence 473: 1.1367
Sentence 474: 94.1244
Sentence 475: 587.9886
Sentence 476: 9760.7505
Sentence 477: 270.9418
Sentence 478: 44.4872
Sentence 479: 4596.0517
Sentence 480: 3351.5748
Sentence 481: 4.5995
Sentence 482: 7.3513
Sentence 483: 1651.8699
Sentence 484: 12.1069
Sentence 485: 1203.4469
Sentence 486: 800.1641
Sentence 487: 44.4872
Sentence 488: 9833.0245
Sentence 489: 31.0283
Sentence 490: 44.4872
Sentence 491: 9076.4399
Sentence 492: 27.6252
Sentence 493: 1.0014
Sentence 494: 2.5862
Sentence 495: 4566.7428
Sentence 496: 94.1244
Sentence 497: 14.0986
Sentence 498: 4844.3716
Sentence 499: 31.0283
Sentence 500: 6685.7363
Sentence 501: 320.8967
Sentence 502: 460.3599
Sentence 503: 4450.8879
Sentence 504: 289.0114
Sentence 505: 48.4848
Sentence 506: 6121.9554
Sentence 507: 44.4872
Sentence 508: 4122.0907
Sentence 509: 9700.6308
Sentence 510: 4044.9537
Sentence 511: 9860.6798
Sentence 512: 509.2353
Sentence 513: 6295.6422
Sentence 514: 733.8704
Sentence 515: 72.0643
Sentence 516: 9716.4702
Sentence 517: 509.2353
Sentence 518: 2470.9800
Sentence 519: 733.8704
Sentence 520: 212.9481
Sentence 521: 398.0492
Sentence 522: 3773.4574
Sentence 523: 4738.0668
Sentence 524: 18.4316
Sentence 525: 44.4872
Sentence 526: 7687.5052
Sentence 527: 5669.7387
Sentence 528: 1683.9183
Sentence 529: 44.4872
Sentence 530: 3580.9212
Sentence 531: 25.2925
Sentence 532: 9332.3305
Sentence 533: 7092.6516
Sentence 534: 124.7265
Sentence 535: 5.6810
Sentence 536: 3200.3545
Sentence 537: 7687.5052
Sentence 538: 13.8195
Sentence 539: 127.8776
Sentence 540: 3987.0990
Sentence 541: 72.0643
Sentence 542: 5422.4315
Sentence 543: 27.6252
Sentence 544: 1.0026
Sentence 545: 1.6930
Sentence 546: 5110.4552
Sentence 547: 7488.0000
Sentence 548: 1944.1912
Sentence 549: 1169.6667
Sentence 550: 44.4872
Sentence 551: 206.2883
Sentence 552: 185.8841
Sentence 553: 44.4872
Sentence 554: 5802.5350
Sentence 555: 453.9706
Sentence 556: 1455.0561
Sentence 557: 212.2742
Sentence 558: 17.8276
Sentence 559: 124.7265
Sentence 560: 39.8708
Sentence 561: 4665.6633
Sentence 562: 16.6189
Sentence 563: 215.1823
Sentence 564: 8466.7281
Sentence 565: 27.6252
Sentence 566: 31.0283
Sentence 567: 4095.3231
Sentence 568: 7704.7081
Sentence 569: 31.0283
