Perplexity Results for RNN on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 255.7799
Average Test Perplexity: 1316.8406

Test Set Perplexities:
Sentence 235: 46.4666
Sentence 236: 17.0014
Sentence 237: 71.2918
Sentence 238: 8103.8444
Sentence 239: 45.3208
Sentence 240: 2.9685
Sentence 241: 234.8665
Sentence 242: 1.0020
Sentence 243: 1792.2518
Sentence 244: 3661.2658
Sentence 245: 8048.2114
Sentence 246: 9947.5224
Sentence 247: 844.8170
Sentence 248: 4358.7989
Sentence 249: 12.9206
Sentence 250: 3118.3453
Sentence 251: 1090.2284
Sentence 252: 31.5442
Sentence 253: 2683.5191
Sentence 254: 1.1648
Sentence 255: 7150.2756
Sentence 256: 180.8074
Sentence 257: 8926.7986
Sentence 258: 25.9191
Sentence 259: 1416.2474
Sentence 260: 586.9821
Sentence 261: 1636.9690
Sentence 262: 29.0685
Sentence 263: 90.7720
Sentence 264: 4445.2814
Sentence 265: 7.1155
Sentence 266: 1400.8386
Sentence 267: 14.1133
Sentence 268: 2.5675
Sentence 269: 31.6438
Sentence 270: 6.2904
Sentence 271: 186.6472
Sentence 272: 122.7858
Sentence 273: 3164.5520
Sentence 274: 21.9199
Sentence 275: 2.5899
Sentence 276: 2446.3246
Sentence 277: 5726.0515
Sentence 278: 1.5659
Sentence 279: 18.4460
Sentence 280: 1.0568
Sentence 281: 3.4880
Sentence 282: 3.6427
Sentence 283: 27.9230
Sentence 284: 14.0291
Sentence 285: 17.7448
Sentence 286: 101.9468
Sentence 287: 4888.9218
Sentence 288: 77.8313
Sentence 289: 107.9009
Sentence 290: 897.0639
Sentence 291: 949.3200
Sentence 292: 50.8775
Sentence 293: 21.2070
Sentence 294: 134.1849
Sentence 295: 33.0509
Sentence 296: 102.3155
Sentence 297: 1278.2398
Sentence 298: 10.1705
Sentence 299: 2.3260
Sentence 300: 1041.5839
Sentence 301: 40.9740
Sentence 302: 219.4402
Sentence 303: 928.2597
Sentence 304: 1180.4785
Sentence 305: 610.9932
Sentence 306: 8.8525
Sentence 307: 36.0989
Sentence 308: 6358.1553
Sentence 309: 7775.1147
Sentence 310: 112.4661
Sentence 311: 13.0122
Sentence 312: 4765.9429
Sentence 313: 1.0825
Sentence 314: 3.4880
Sentence 315: 1629.9865
Sentence 316: 417.9360
Sentence 317: 4479.0809
Sentence 318: 16.4667
Sentence 319: 11.5076
Sentence 320: 425.6301
Sentence 321: 2.0250
Sentence 322: 3899.0605
Sentence 323: 70.7024
Sentence 324: 4456.4335
Sentence 325: 17.2316
Sentence 326: 7.4481
Sentence 327: 5593.0983
Sentence 328: 1812.1487
Sentence 329: 8430.3576
Sentence 330: 13.7363
Sentence 331: 3244.5720
Sentence 332: 1.3850
Sentence 333: 989.9841
Sentence 334: 90.5584
Sentence 335: 16.6116
Sentence 336: 252.6978
Sentence 337: 315.5816
Sentence 338: 3.5096
Sentence 339: 148.5339
Sentence 340: 1118.5700
Sentence 341: 6.8214
Sentence 342: 33.1563
Sentence 343: 111.7433
Sentence 344: 635.4857
Sentence 345: 8324.8590
Sentence 346: 230.3883
Sentence 347: 3.5471
Sentence 348: 810.6142
Sentence 349: 240.6687
Sentence 350: 4977.5905
Sentence 351: 6881.1031
Sentence 352: 76.6618
Sentence 353: 1594.1294
Sentence 354: 1.1441
Sentence 355: 1151.9971
Sentence 356: 625.3545
Sentence 357: 396.0246
Sentence 358: 6.2223
Sentence 359: 9.3146
Sentence 360: 3305.3896
Sentence 361: 32.2588
Sentence 362: 6227.5139
Sentence 363: 6.2617
Sentence 364: 2.7530
Sentence 365: 691.8681
Sentence 366: 4302.6798
Sentence 367: 55.9540
Sentence 368: 8992.2742
Sentence 369: 786.4747
Sentence 370: 127.1588
Sentence 371: 1.0570
Sentence 372: 1.0843
Sentence 373: 36.1335
Sentence 374: 5602.0025
Sentence 375: 1.0113
Sentence 376: 20.2189
Sentence 377: 5646.1249
Sentence 378: 1679.8708
Sentence 379: 1.0118
Sentence 380: 16.0042
Sentence 381: 9.7583
Sentence 382: 1.0198
Sentence 383: 16.9110
Sentence 384: 2.7788
Sentence 385: 12.1265
Sentence 386: 991.0780
Sentence 387: 2972.5000
Sentence 388: 4935.9955
Sentence 389: 14.4381
Sentence 390: 39.4268
Sentence 391: 4.5941
Sentence 392: 30.5590
Sentence 393: 66.1829
Sentence 394: 243.6019
Sentence 395: 20.5261
Sentence 396: 186.8200
Sentence 397: 14.5099
Sentence 398: 8.5256
Sentence 399: 101.3402
Sentence 400: 1282.2732
Sentence 401: 1.0135
Sentence 402: 2.6303
Sentence 403: 2.8653
Sentence 404: 10.0369
Sentence 405: 43.8889
Sentence 406: 1.0068
Sentence 407: 2.6303
Sentence 408: 9835.8081
Sentence 409: 6.8813
Sentence 410: 70.0864
Sentence 411: 10.0809
Sentence 412: 21.0246
Sentence 413: 7.6897
Sentence 414: 11.3900
Sentence 415: 101.3402
Sentence 416: 5588.4618
Sentence 417: 42.6708
Sentence 418: 874.9411
Sentence 419: 10.3852
Sentence 420: 191.3288
Sentence 421: 3.9022
Sentence 422: 1.0310
Sentence 423: 2.9203
Sentence 424: 11.0222
Sentence 425: 105.0431
Sentence 426: 1468.8764
Sentence 427: 1931.7779
Sentence 428: 50.0420
Sentence 429: 57.4617
Sentence 430: 4.5102
Sentence 431: 391.1525
Sentence 432: 8797.3741
Sentence 433: 120.1974
Sentence 434: 656.2875
Sentence 435: 1305.5664
Sentence 436: 42.9083
Sentence 437: 483.0043
Sentence 438: 28.9406
Sentence 439: 285.4996
Sentence 440: 313.9184
Sentence 441: 13.7358
Sentence 442: 974.9286
Sentence 443: 21.0455
Sentence 444: 9.2066
Sentence 445: 11.8995
Sentence 446: 2778.8181
Sentence 447: 1.0000
Sentence 448: 92.5675
Sentence 449: 1.0014
Sentence 450: 1.0098
Sentence 451: 101.8097
Sentence 452: 9171.7440
Sentence 453: 12.4850
Sentence 454: 5936.0256
Sentence 455: 21.3798
Sentence 456: 3293.4982
Sentence 457: 1114.5253
Sentence 458: 1697.7997
Sentence 459: 1342.6763
Sentence 460: 731.2338
Sentence 461: 8784.7775
Sentence 462: 1.0000
Sentence 463: 6.7370
Sentence 464: 318.8964
Sentence 465: 4509.0144
Sentence 466: 709.1812
Sentence 467: 10.1429
Sentence 468: 16.0042
Sentence 469: 3127.0651
Sentence 470: 236.0904
Sentence 471: 2811.5390
Sentence 472: 3.7082
Sentence 473: 2589.5409
Sentence 474: 37.3253
Sentence 475: 876.9794
Sentence 476: 723.2090
Sentence 477: 5.9132
Sentence 478: 7.5684
Sentence 479: 8757.6258
Sentence 480: 3847.1425
Sentence 481: 1639.0307
Sentence 482: 86.8596
Sentence 483: 1040.5121
Sentence 484: 2942.8843
Sentence 485: 145.0251
Sentence 486: 45.1306
Sentence 487: 23.1699
Sentence 488: 262.9508
Sentence 489: 20.6729
Sentence 490: 15.6094
Sentence 491: 141.0805
Sentence 492: 3652.5130
Sentence 493: 301.7810
Sentence 494: 946.2390
Sentence 495: 302.4015
Sentence 496: 25.0048
Sentence 497: 9782.6618
Sentence 498: 66.9584
Sentence 499: 2270.1612
Sentence 500: 38.8320
Sentence 501: 602.2034
Sentence 502: 6.5576
Sentence 503: 4332.9693
Sentence 504: 1921.3959
Sentence 505: 4.4056
Sentence 506: 20.0331
Sentence 507: 2748.5156
Sentence 508: 1028.3059
Sentence 509: 4.6858
Sentence 510: 733.7626
Sentence 511: 35.7078
Sentence 512: 155.1503
Sentence 513: 9844.7043
Sentence 514: 40.7007
Sentence 515: 5134.1115
Sentence 516: 780.5419
Sentence 517: 42.8019
Sentence 518: 350.7250
Sentence 519: 83.3191
Sentence 520: 7915.9624
Sentence 521: 354.8699
Sentence 522: 102.4339
Sentence 523: 22.8541
Sentence 524: 1.3024
Sentence 525: 8452.3042
Sentence 526: 1.7121
Sentence 527: 10.8086
Sentence 528: 6554.1434
Sentence 529: 294.4569
Sentence 530: 400.7304
Sentence 531: 33.3976
Sentence 532: 2327.2728
Sentence 533: 1.1288
Sentence 534: 10.9386
Sentence 535: 5.1768
Sentence 536: 17.2441
Sentence 537: 2488.4559
Sentence 538: 5126.0830
Sentence 539: 656.2598
Sentence 540: 8.4547
Sentence 541: 269.9098
Sentence 542: 754.7130
Sentence 543: 26.6653
Sentence 544: 132.4887
Sentence 545: 6910.4444
Sentence 546: 538.7884
Sentence 547: 461.3409
Sentence 548: 3073.0682
Sentence 549: 12.7420
Sentence 550: 90.0654
Sentence 551: 17.0945
Sentence 552: 8.8747
Sentence 553: 1.0042
Sentence 554: 8980.2641
Sentence 555: 6.4979
Sentence 556: 3501.0229
Sentence 557: 81.9312
Sentence 558: 5097.7847
Sentence 559: 26.4477
Sentence 560: 558.5393
Sentence 561: 362.5890
Sentence 562: 726.0351
Sentence 563: 546.7301
Sentence 564: 880.3228
Sentence 565: 1.0076
Sentence 566: 10.8539
Sentence 567: 5880.3814
Sentence 568: 4013.4056
Sentence 569: 3151.7462
Sentence 570: 12.2013
Sentence 571: 116.9305
