Perplexity Results for LSTM on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 166.3927
Average Test Perplexity: 1108.9579

Test Set Perplexities:
Sentence 236: 125.9531
Sentence 237: 220.5910
Sentence 238: 3355.6378
Sentence 239: 19.8905
Sentence 240: 3.5490
Sentence 241: 35.9537
Sentence 242: 1.0186
Sentence 243: 393.5200
Sentence 244: 290.5589
Sentence 245: 4.1024
Sentence 246: 2025.5286
Sentence 247: 133.4967
Sentence 248: 1856.2134
Sentence 249: 48.8005
Sentence 250: 8275.2524
Sentence 251: 3051.9637
Sentence 252: 5.3559
Sentence 253: 2468.9746
Sentence 254: 3.4456
Sentence 255: 1963.3273
Sentence 256: 66.9601
Sentence 257: 8802.5392
Sentence 258: 26.4494
Sentence 259: 3095.3437
Sentence 260: 70.0727
Sentence 261: 1044.1550
Sentence 262: 16.2055
Sentence 263: 252.7458
Sentence 264: 6926.9263
Sentence 265: 73.1993
Sentence 266: 3246.0554
Sentence 267: 14.7473
Sentence 268: 1.2560
Sentence 269: 42.9485
Sentence 270: 4.5817
Sentence 271: 27.8283
Sentence 272: 36.8664
Sentence 273: 2886.7262
Sentence 274: 150.7984
Sentence 275: 3.9056
Sentence 276: 327.4049
Sentence 277: 8320.7278
Sentence 278: 1.3685
Sentence 279: 8.3360
Sentence 280: 1.0003
Sentence 281: 1.6407
Sentence 282: 5.2568
Sentence 283: 9.2312
Sentence 284: 12.4941
Sentence 285: 10.3797
Sentence 286: 31.1931
Sentence 287: 3638.5858
Sentence 288: 10.3995
Sentence 289: 352.6825
Sentence 290: 1852.7706
Sentence 291: 5573.1089
Sentence 292: 594.0377
Sentence 293: 39.9493
Sentence 294: 77.7309
Sentence 295: 58.7347
Sentence 296: 163.9233
Sentence 297: 113.9757
Sentence 298: 33.7870
Sentence 299: 13.8318
Sentence 300: 1697.2867
Sentence 301: 12.1884
Sentence 302: 3.0466
Sentence 303: 333.8615
Sentence 304: 4343.3737
Sentence 305: 15.1721
Sentence 306: 7.2228
Sentence 307: 57.0346
Sentence 308: 1270.2995
Sentence 309: 1123.2748
Sentence 310: 53.1637
Sentence 311: 3.9171
Sentence 312: 986.9204
Sentence 313: 1.0004
Sentence 314: 1.6407
Sentence 315: 1125.1053
Sentence 316: 473.1901
Sentence 317: 2387.4616
Sentence 318: 133.6131
Sentence 319: 17.7522
Sentence 320: 704.9389
Sentence 321: 1.0380
Sentence 322: 2156.5680
Sentence 323: 36.3083
Sentence 324: 8928.0595
Sentence 325: 17.9805
Sentence 326: 31.7205
Sentence 327: 4778.8465
Sentence 328: 1312.2062
Sentence 329: 7986.6834
Sentence 330: 37.9728
Sentence 331: 15.3688
Sentence 332: 9.6759
Sentence 333: 9154.7868
Sentence 334: 64.5746
Sentence 335: 6.0683
Sentence 336: 292.5150
Sentence 337: 546.4699
Sentence 338: 7.0102
Sentence 339: 170.6100
Sentence 340: 2567.7168
Sentence 341: 3.9913
Sentence 342: 140.0009
Sentence 343: 209.0858
Sentence 344: 638.3795
Sentence 345: 7473.7826
Sentence 346: 551.9295
Sentence 347: 6.4396
Sentence 348: 1428.2485
Sentence 349: 68.9811
Sentence 350: 6299.1739
Sentence 351: 2021.1723
Sentence 352: 5.5359
Sentence 353: 505.1977
Sentence 354: 1.0148
Sentence 355: 5205.1077
Sentence 356: 177.1281
Sentence 357: 911.2720
Sentence 358: 2.2853
Sentence 359: 32.2314
Sentence 360: 905.1004
