Perplexity Results for RNN on ulysses
--------------------------------------------------------

Average Training Perplexity: 649.1392
Average Test Perplexity: 1952.1131

Test Set Perplexities:
Sentence 235: 4918.8116
Sentence 236: 7.6306
Sentence 237: 7337.9779
Sentence 238: 7258.5818
Sentence 239: 2917.4340
Sentence 240: 5232.7322
Sentence 241: 5551.0255
Sentence 242: 26.6790
Sentence 243: 2099.0197
Sentence 244: 8005.0777
Sentence 245: 9472.9228
Sentence 246: 7.7856
Sentence 247: 14.5118
Sentence 248: 31.4340
Sentence 249: 4432.5897
Sentence 250: 1006.4170
Sentence 251: 33.2091
Sentence 252: 8732.9735
Sentence 253: 1346.8072
Sentence 254: 2755.4589
Sentence 255: 1110.6599
Sentence 256: 15.9387
Sentence 257: 2028.9737
Sentence 258: 1614.6080
Sentence 259: 872.2796
Sentence 260: 2.0402
Sentence 261: 9763.0218
Sentence 262: 3469.7341
Sentence 263: 5.6734
Sentence 264: 9057.0695
Sentence 265: 908.8001
Sentence 266: 148.3277
Sentence 267: 1135.9807
Sentence 268: 8303.9205
Sentence 269: 85.8447
Sentence 270: 7231.5175
Sentence 271: 551.7290
Sentence 272: 458.5424
Sentence 273: 34.4991
Sentence 274: 2064.3984
Sentence 275: 75.4374
Sentence 276: 53.5605
Sentence 277: 606.0910
Sentence 278: 2220.3498
Sentence 279: 360.0016
Sentence 280: 4.3961
Sentence 281: 5001.2318
Sentence 282: 2883.2540
Sentence 283: 12.9231
Sentence 284: 6635.7133
Sentence 285: 4359.8160
Sentence 286: 30.2711
Sentence 287: 1.5363
Sentence 288: 5603.6643
Sentence 289: 8518.9814
Sentence 290: 5203.9427
Sentence 291: 297.2522
Sentence 292: 142.1639
Sentence 293: 51.0410
Sentence 294: 343.5813
Sentence 295: 152.9338
Sentence 296: 2524.4001
Sentence 297: 1555.5487
Sentence 298: 60.6434
Sentence 299: 231.0063
Sentence 300: 27.7373
Sentence 301: 178.1705
Sentence 302: 273.1871
Sentence 303: 9676.4626
Sentence 304: 21.3083
Sentence 305: 66.2496
Sentence 306: 201.6732
Sentence 307: 8418.3384
Sentence 308: 19.1626
Sentence 309: 50.9006
Sentence 310: 1674.7157
Sentence 311: 1871.9852
Sentence 312: 1200.0062
Sentence 313: 18.7833
Sentence 314: 84.2576
Sentence 315: 7263.4259
Sentence 316: 9045.3942
Sentence 317: 1475.5447
Sentence 318: 3859.5973
Sentence 319: 953.1162
Sentence 320: 5172.0178
Sentence 321: 37.1151
Sentence 322: 1281.4877
Sentence 323: 9040.6446
Sentence 324: 2.8193
Sentence 325: 13.4648
Sentence 326: 165.2511
Sentence 327: 1877.2485
Sentence 328: 10.9713
Sentence 329: 1571.3210
Sentence 330: 34.4810
Sentence 331: 2134.4660
Sentence 332: 1519.2037
Sentence 333: 8838.8420
Sentence 334: 24.7479
Sentence 335: 414.8816
Sentence 336: 4190.6561
Sentence 337: 3.2882
